0      ffffffff ffffffff ffffffff ffffffff ffffffff 
1      ffffffff ffffffff ffffffff ffffffff fffffeff 
2      ffffffff ffffffff ffffffff ffffffff fff7ffff 
3      ffffffff ffffffff ffffffff ffffffff fffffff7 
4      ffffffff ffffffff ffffffff fffffdff ffffffff 
5      ffffffff ffffffff ffffffff ffffffff ffffffff 
6      ffffffff ffffffff ffffffff ffffffff ffffffff 
7      ffffffff ffffffff ffffffff ffffffff fffffffe 
8      ffffffff ffffffff ffffffff ffffffff ffffffff 
9      ffffffff ffffffff ffffffff ffffffff ffffffff 
10     ffffffff ffffffff ffffffff ffffffff ffffffff 
11     ffffffff ffffffff ffffffff ffffffff ffffffff 
12     ffffffff ffffffff ffffffff ffffffff ffffffff 
13     ffffffff ffffffff ffffffff ffffffff ffffffff 
14     ffffffff ffffffff ffffffff ffffffff fffffff7 
15     ffffffff ffffffff ffffffff ffffffff ffffffff 
16     ffffffff ffffffff ffffffff ffffffff ffffffff 
17     ffffffff ffffffff ffffffff ffffffff fffefffd 
